show,collection_id,pct_sentences_dropped,pct_tokens_dropped,flagged
The David Pakman Show,402050558,0.006884322520079274,0.00804134828431579,False
Next Up with Mark Halperin,1810218232,0.007355845181674566,0.007571642964339312,False
Maiden Mother Matriarch with Louise Perry,1671451793,0.009859250696947031,0.0074578702043743275,False
No Lie with Brian Tyler Cohen,1515399733,0.007564638139324828,0.0070510670374337725,False
Straight White American Jesus,1441649707,0.0074037239626498705,0.006956921485624533,False
10 Minute Drill,1798460240,0.009785737128237928,0.006795290060244265,False
Lectures in History,506779862,0.006771864818245704,0.006594800854057483,False
Perino on Politics,1702202187,0.006325961346881849,0.0063902278786582434,False
Breaking News from Pod Save America,1876034889,0.004939033801512579,0.006210293658171551,False
Sidebar with Katie Phang,1886801652,0.006545454545454545,0.005977435583464577,False
The Political Scene | The New Yorker,268213039,0.006227590111341763,0.0059233351197359885,False
RealClearPolitics Podcast,1509826894,0.007964552134163442,0.0058976992034636844,False
Hacks On Tap,1467297559,0.005194197473093121,0.0057901969766376545,False
Trump's Terms,1715894000,0.006568214990984803,0.0057194090914975985,False
Tangle,1538788132,0.008349922583499226,0.005485715050740354,False
X22 Report,1507444393,0.005357940169668105,0.005411554656702033,False
Defending Democracy with Marc Elias,1660317917,0.006585743801652892,0.005240234109160202,False
The NPR Politics Podcast,1057255460,0.0048716507401161705,0.0052335457188320365,False
THE DAILY BLAST with Greg Sargent,1728152109,0.005697003798002532,0.005212494096773197,False
The PoliticsGirl Podcast,1595408601,0.005365205843293493,0.005116034848453445,False
"The Bob Cesca Show | Politics Podcast, News & Commentary",380996798,0.003686873017233988,0.005022877637991791,False
Hope For America with Heather Delaney Reese,1874174561,0.005513567092057985,0.0049370996466545775,False
Hawk Podcasts,1725442221,0.004088659350118356,0.00486119077664334,False
The Nation Podcasts,1060110806,0.006594372801875733,0.0048363663420231285,False
Brian Tyler Cohen,1896576050,0.006048735526239991,0.004739246792869932,False
Letters from an American,1730358737,0.004188043136844309,0.004613260765930399,False
UNGOVERNED,1709994511,0.0035187601312616137,0.004477081801736314,False
The Great America Show,1594728054,0.004775363025046292,0.004376553491824893,False
Wendy Bell Radio Podcast,1647025876,0.0032285302736800277,0.0043002975788496815,False
John Solomon Reports,1495251160,0.004568374779123389,0.004187425111937946,False
The Source with Kaitlan Collins,1696974077,0.004808686659772492,0.0040981497680778025,False
Batya!,1868807558,0.00438121746301737,0.004083315843928231,False
The Benny Show,1584730781,0.0035593768779179956,0.0040761082777559824,False
Head in the Office,1579061364,0.004205551327752633,0.004044303233660955,False
Stay Tuned with Preet,1265845136,0.0039950483907269865,0.004004924281283785,False
The Hugh Hewitt Show: Highly Concentrated,1517313007,0.004778124704323966,0.0039913106229122804,False
Pod Force One,1818418128,0.0035177647117945626,0.0037889345338358318,False
Making the Argument with Nick Freitas,1506127536,0.0033341159896689366,0.0037824088181131676,False
Liberty Lockdown,1138657182,0.003943661971830986,0.0036640370831979257,False
The Joy Reid Show,1820648828,0.003504615232736068,0.0035677614250212058,False
The Majority Report with Sam Seder,402306412,0.003799121453163956,0.003526899025394529,False
The Wright Report,1674095262,0.0037128712871287127,0.0032224341368185584,False
Timcast News,1362265400,0.0024459551814682923,0.00304440695443561,False
The Lars Larson Show Pacific Northwest Podcast,1368074498,0.00355463822956083,0.0030116213151927438,False
The Remnant with Jonah Goldberg,1291144720,0.0031045857318414073,0.002889285055634106,False
Nobody Knows Anything,1889705401,0.002770083102493075,0.0028868813825608797,False
