guest_key,display_name,n_candidates,reason
goodman|peter|peter s,Peter S. Goodman,74,"name too common in DIME donor pool (n=74 same-name individuals, no recipient/candidate match) -- not search-tractable"
duggan|michael|mike,Mike Duggan,102,"name too common in DIME donor pool (n=102 same-name individuals, no recipient/candidate match) -- not search-tractable"
weiner|daniel|dan,Dan Weiner,70,"name too common in DIME donor pool (n=70 same-name individuals, no recipient/candidate match) -- not search-tractable"
rose|megan|megan,Megan Rose,32,"name too common in DIME donor pool (n=32 same-name individuals, no recipient/candidate match) -- not search-tractable"
grant|rebecca|rebecca,Dr. Rebecca Grant,54,"name too common in DIME donor pool (n=54 same-name individuals, no recipient/candidate match) -- not search-tractable"
walton|anthony|anthony,Anthony Walton,28,"name too common in DIME donor pool (n=28 same-name individuals, no recipient/candidate match) -- not search-tractable"
stewart|katherine|katherine,Katherine Stewart,393,"name too common in DIME donor pool (n=393 same-name individuals, no recipient/candidate match) -- not search-tractable"
davis|julia|julia,Julia Davis,193,"name too common in DIME donor pool (n=193 same-name individuals, no recipient/candidate match) -- not search-tractable"
rubenstein|david|david,David Rubenstein,56,"name too common in DIME donor pool (n=56 same-name individuals, no recipient/candidate match) -- not search-tractable"
troy|david|dave,Dave Troy,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
eggers|david|dave,Dave Eggers,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
carlson|adam|adam,Adam Carlson,36,"name too common in DIME donor pool (n=36 same-name individuals, no recipient/candidate match) -- not search-tractable"
walker|melissa|melissa,Melissa Walker,170,"name too common in DIME donor pool (n=170 same-name individuals, no recipient/candidate match) -- not search-tractable"
levin|jonathan|jonathan,Jonathan Levin,74,"name too common in DIME donor pool (n=74 same-name individuals, no recipient/candidate match) -- not search-tractable"
wallis|james|jim,Jim Wallis,53,"name too common in DIME donor pool (n=53 same-name individuals, no recipient/candidate match) -- not search-tractable"
fuller|matthew|matt,Matt Fuller,88,"name too common in DIME donor pool (n=88 same-name individuals, no recipient/candidate match) -- not search-tractable"
corn|david|david,David Corn,23,"name too common in DIME donor pool (n=23 same-name individuals, no recipient/candidate match) -- not search-tractable"
winter|alexander|alex,Alex Winter,29,"name too common in DIME donor pool (n=29 same-name individuals, no recipient/candidate match) -- not search-tractable"
hogan|timothy|tim,Tim Hogan,157,"name too common in DIME donor pool (n=157 same-name individuals, no recipient/candidate match) -- not search-tractable"
kelly|kim|kim,Kim Kelly,126,"name too common in DIME donor pool (n=126 same-name individuals, no recipient/candidate match) -- not search-tractable"
wood|roy|roy,Roy Wood Jr.,58,"name too common in DIME donor pool (n=58 same-name individuals, no recipient/candidate match) -- not search-tractable"
shapiro|jeffrey|jeffrey scott,Jeffrey Scott Shapiro,63,"name too common in DIME donor pool (n=63 same-name individuals, no recipient/candidate match) -- not search-tractable"
sanchez|yvonne|yvonne wingett,Yvonne Wingett Sanchez,33,"name too common in DIME donor pool (n=33 same-name individuals, no recipient/candidate match) -- not search-tractable"
glaser|susan|susan,Susan Glaser,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
wu|katherine|katherine,Katherine Wu,46,"name too common in DIME donor pool (n=46 same-name individuals, no recipient/candidate match) -- not search-tractable"
harris|shane|shane,Shane Harris,21,"name too common in DIME donor pool (n=21 same-name individuals, no recipient/candidate match) -- not search-tractable"
