topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show,ci_low_show,ci_high_show,survives_bonferroni_clustered,se_inflation
38,-91.8270296196925,9.97441996777525,0.0057212400125064,pope church catholic francis leo catholics rome vatican religious roman cardinal protestant,pope vatican francis catholic popes catholics catholicism leo cardinal bishops sspx protestant,False,0.0037523702170185,0.0003611751943817,10.3893353568818,2.99783932568325e-25,0.0030444668360304,0.0044602735980066,0.0038028300322395,0.0023478413445901,0.106853980940306,-0.0007989390031570968,0.008404599067636097,False,6.500560894303378
39,-96.6208684280039,9.74095933706268,0.0178393474269631,maga tucker left i've person carlson nick says bad she's feel guess,tucker carlson nick fuentes rogan influencers hassan marjorie maga greene taylor creators,False,-0.0010206307221123,0.0005259774813801,-1.94044566211151,0.0523329504332984,-0.0020515465856174,1.02851413926429e-05,-0.0010054640962693,0.0018374143520182,0.584833811052781,-0.004606796226224973,0.002595868033686372,False,3.493332732034557
40,-81.8705222232981,9.95568377943298,0.0162219611516415,book school read books students university write history writing wrote college reading,book books students yale professor teach author school classroom graduate academic teaching,False,-0.0002219013853568,0.0003503672413104,-0.633339419880869,0.52651583384124,-0.0009086211783254,0.0004648184076117,-0.0003063940524873,0.0013861883510084,0.825289615936622,-0.003023323220463764,0.0024105351154891643,False,3.956386863748879
41,-64.278322873477,9.93819589804025,0.015110981590629,democratic party democrats candidates california primary democrat candidate running governor run race,bernie aoc sanders gavin newsom pratt dsa spanberger candidates steyer spencer primaries,False,-0.0011325708773753,0.0004689598518559,-2.41507001696021,0.0157368818899522,-0.0020517321870128,-0.0002134095677377,-0.0010792618162732,0.0015435492287761,0.48522643253574,-0.004104618304674356,0.0019460946721279561,False,3.291431500303346
42,-97.2525061302931,9.8802496666457,0.0095690104893506,china chinese taiwan korea xi japan north united china's states world communist,taiwan xi jinping chinese china beijing china's korea japan ccp korean philippines,False,-0.0005245709299106,0.0003739675696064,-1.40271770213304,0.160709219100517,-0.0012575473663392,0.000208405506518,-0.0007354386953916,0.001483106149678,0.620520055615664,-0.00364232674876048,0.00217144935797728,False,3.965868353876155
43,-86.3039159034369,9.93763563661261,0.0129794265766083,news morning secretary quote today mr yesterday rubio united america week states,rubio marco mr secretary noem morning kristi friday yesterday mullen gentlemen tuesday,False,0.0031897241998142,0.0003724365521463,8.56447677176534,1.12588624605157e-17,0.0024597485576072,0.0039196998420211,0.0033792694794498,0.0015765936157073,0.0332767039768065,0.00028914599266349197,0.006469392966236108,False,4.233187120387648
44,-80.2428555854341,9.96509894847351,0.0150568617875019,election vote voting state states elections voter ballot votes ballots republicans virginia,ballots redistricting voting mail-in gerrymandering voter id maps ballot registration districts mail,False,-0.0006669831276477,0.000512968523072,-1.30024182313041,0.193525998876977,-0.0016724014328688,0.0003384351775734,-0.0008651872065707,0.0012870859354774,0.502220542071398,-0.0033878756401064043,0.0016575012269650041,False,2.509093399668005
45,-103.532242930245,9.97479961833319,0.0129823608838699,women men woman trans sex young gay abortion gender women's male female,trans transgender female gender male women masculinity gay feminist women's men abortion,False,0.001706843941736,0.0004157449655565,4.10550718143093,4.04272442625185e-05,0.0008919838092452,0.0025217040742268,0.0015403594931153,0.0018148750165323,0.397029896031081,-0.0020167955392880075,0.005097514525518608,False,4.3653565692683225
46,-79.535200174103,9.91236588310576,0.0157623870330911,harris kamala she's campaign vance vice debate donald tim election convention pennsylvania,kamala harris walz convention harris's vance vice walls tim vp pennsylvania ticket,False,0.0015072462930419,0.0004907309792557,3.0714308995286,0.0021318617890825,0.0005454135737007,0.002469079012383,0.0021459889212056,0.0013194373358927,0.105414532181848,-0.0004401082571440923,0.004732086099555292,False,2.6887182421087683
47,-83.8798224325926,9.70251791249152,0.0096370163442182,cia conspiracy believe deep world state government theories remember america intelligence control,cia facetune conspiracy theories lighting effortless jfk conspiracies fremont spy spies qanon,False,0.0066985022701807,0.0004156773459355,16.1146676278559,3.14270300190739e-58,0.005883774672147,0.0075132298682144,0.0060901616290299,0.0026346244231911,0.0218088671270854,0.000926297759575344,0.011254025498484456,False,6.3381477219110005
