topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show
55,-71.6569889853713,9.95322405935842,0.00836508507952747,gaza israel genocide israeli palestinians palestinian hamas west killed palestine bank children,genocide palestinians palestinian settlers palestine cleansing genocidal gaza idf starvation settler civilians,FALSE,-0.00336658325621352,0.000455190319096487,-7.39599045712549,1.43252531434535e-13,-0.00425875628164264,-0.00247441023078441,-0.0034941270320423,0.00156027597242238,0.0262180979645223
56,-86.1543911619538,9.95329701895424,0.0180350675569123,ice police agents enforcement law crime violence officers shooting minnesota minneapolis shot,minneapolis ice police protesters agents shooting shootings minnesota officers enforcement bovino renee,FALSE,0.00200309706475707,0.000470894969716081,4.25380858488424,2.10668019415828e-05,0.00108014292411355,0.00292605120540059,0.00219536401216625,0.00105437482343823,0.0385886419244617
57,-143.029159047368,9.95195233583601,0.00758675768617761,data centers center power demand customers stars utility grid customer system level,centers customer data utility customers utilities antitrust grid stars battery brands survey,FALSE,-0.00100394180712403,0.000343389728755792,-2.92362212102738,0.00346188926702416,-0.00167698567548538,-0.000330897938762674,-0.00126474631633161,0.0024345460198098,0.603980975783676
58,-71.3096792081378,9.8663000307257,0.0162383702874288,war world american wars states united foreign iraq military policy power middle,wars war iraq afghanistan ii vietnam strategy anti-war conflict conflicts warfare saddam,FALSE,-0.00238906905659401,0.000321252689419859,-7.43672857932601,1.05384591314143e-13,-0.00301872432785693,-0.00175941378533109,-0.00289401388220976,0.00117977680769659,0.0150142689664879
59,-131.129810033646,9.9867415582768,0.00659114894998115,air space plane flying airport flight fly moon traffic planes drones jet,moon airlines airport plane nasa flight planes flying helicopter airports pilots mars,FALSE,0.00119126902884105,0.000284996483421295,4.17994290505002,2.92235186461625e-05,0.000632675921335308,0.00174986213634678,0.00141072228850408,0.000530746434628601,0.00848998314929408
60,-56.5784054409645,9.91927335088151,0.0165846288035987,federal administration government department national executive law state congress trump's agencies order,npr federal executive agencies guard department agency npr's branch orders authority administration's,FALSE,-0.00252920983556373,0.000413942418353318,-6.11005232472924,1.00565677469512e-09,-0.00334053697553623,-0.00171788269559123,-0.00277796650090257,0.00190373454460046,0.146057999346271
61,-89.8431372285714,9.84437298552885,0.0100853439084462,january th pardon donald capitol law election day justice convicted prison fund,pardon pardoned january impeachment pardons capitol slush impeach impeached pardoning convicted oath,FALSE,-0.00173082918451276,0.000326956261312454,-5.29376369048551,1.20489489623747e-07,-0.00237166345668517,-0.00108999491234035,-0.00176559232396537,0.000933451027999567,0.0599928513062182
62,-121.529380321261,9.84803094417044,0.00673177045299565,canada world greenland nato peace america united states prize canadian prime minister,greenland canada canadian prize nobel denmark carney canadians davos fifa trudeau nato,FALSE,-0.000572862222539425,0.000289871153829457,-1.97626502317117,0.0481320003942372,-0.00114100968404516,-4.71476103368991e-06,-0.00063071854622746,0.000501149671582099,0.209647984447103
63,-79.76949696859,9.94011300790506,0.0156835846467389,money million dollars financial company billion pay buy bank business dollar gold,crypto bitcoin currency banks coin dollar financial gold silver money stock cryptocurrency,FALSE,0.000999182638515481,0.000354235001676129,2.8206773294216,0.00479472470341555,0.000304882035230268,0.00169348324180069,0.00157330708394612,0.00109285973228738,0.151521704972076
64,-86.885376132041,9.94867640886597,0.0121097135679866,military defense pete hegseth army service pentagon force general secretary combat command,hegseth marines pete combat marine pentagon generals veterans commander command army admiral,FALSE,7.26172506868773e-05,0.000380656127653395,0.190768637128045,0.848707882063894,-0.000673468759513777,0.000818703260887531,-7.1255147361481e-05,0.00118575850711431,0.952141403923382
65,-84.6039835094078,9.93789390408528,0.0161594705542157,tax money dollars government billion taxes budget pay state cuts spending cut,tax medicaid taxes budget cuts medicare snap programs trillion taxpayer taxpayers spending,FALSE,0.0028080657715495,0.0004929701612085,5.6962185392025,1.23398168907721e-08,0.00184184425558084,0.00377428728751816,0.00364018567476147,0.00114099931663785,0.00164763536003575
66,-53.1851354072193,9.8056610368414,0.029467119964857,feel different i've person life sense bit thinking experience thought work having,brain feeling universe feel experience experiences felt personality emotional emily feels anxiety,FALSE,-0.00248103860157436,0.000525364638437988,-4.72250779753844,2.33786153586511e-06,-0.00351075329291281,-0.0014513239102359,-0.00236365020504264,0.00225526954482182,0.295864885967908
67,-114.143778373274,9.95801508611958,0.00996316097096114,obama bush george reagan clinton barack soviet nixon wasn't union remember thought,bush reagan nixon ronald barack carter obama obama's soviet roosevelt george fdr,FALSE,0.000611803759753755,0.000300747618639902,2.03427632285359,0.0419306837001771,2.23384272195467e-05,0.00120126909228796,0.000759401581245304,0.0010453606907255,0.468404295052832
68,-73.3932199990973,9.92946133215506,0.009815249267239,israel netanyahu gaza hamas israeli peace state support israel's aid foreign middle,netanyahu bibi israel israel's netanyahu's benjamin un accords hostages hamas two-state aipac,FALSE,-0.000298064352975136,0.000482741644390621,-0.617440729298155,0.5369477699316,-0.00124423797598075,0.000648109270030482,-0.000769452326421002,0.00115084781063647,0.504516491371006
69,-47.4854783429281,9.86715390160822,0.0330008988191194,power believe political america system problem better american understand world politics idea,values institutions disagree agree moral ideas society problems fundamentally principles system fundamental,FALSE,0.001229648421756,0.000437691470432368,2.80939544136263,0.00496600254511334,0.00037177313970856,0.00208752370380344,0.00161171076861967,0.00175070388930458,0.358353609888051
70,-62.6689609711315,9.96724722013925,0.0235624286707515,republicans democrats bill senate house congress republican vote senator johnson shutdown committee,shutdown speaker filibuster johnson senators bill thune senate schumer reconciliation republicans legislation,FALSE,-0.000776122156082224,0.000558549982035269,-1.38953035725497,0.164679690300839,-0.00187088012087135,0.000318635808706903,-0.000564534593845821,0.00262746655518142,0.830094082992081
71,-100.829145063582,9.98154239077116,0.00659624803131982,maine susan graham plattner collins matt sexual allegations platner eric nazi swalwell,plattner platner swalwell maine susan gaetz collins tattoo mills janet allegations rape,FALSE,-0.000586487534573069,0.000362427411451303,-1.61822068652186,0.1056233588094,-0.00129684526101762,0.000123870191871484,-0.000578232892894259,0.000705842301479176,0.413632220621131
72,-91.2759001291382,9.95237770342023,0.0138241861166332,fbi intelligence director information patel security investigation kash national tulsi classified gabbard,tulsi patel gabbard kash fbi classified bongino pulte director whistleblower dni bolton,FALSE,0.00228134353643757,0.000459378084187619,4.96615666912362,6.85888788153983e-07,0.00138096249142984,0.00318172458144531,0.00246976564334536,0.00123266038082096,0.0464484539236577
73,-110.883634032799,9.86882353910279,0.010128821792575,town san thank day area place county francisco park california jersey chicago,san francisco town lake oakland bay park hall lee jersey diego parks,FALSE,0.000833567478690982,0.000314280274658129,2.65230606533524,0.0079977292509047,0.000217578140361049,0.00144955681702092,0.00076116125178312,0.00122529291252685,0.535163413242219
74,-120.772658675026,9.9004878072897,0.0103696823314963,charlie kirk violence news cbs speech jimmy assassination kimmel political fox left,kimmel kirk charlie colbert fcc kirk's cbs barry paramount carr abc jimmy,FALSE,0.00215679207267011,0.000394624140254633,5.46543369414357,4.64678375077801e-08,0.00138332875777103,0.00293025538756919,0.0021077034982924,0.000834580526975074,0.01232248293136
75,-139.418815587381,9.91991429476333,0.00314832119083744,scott graham lindsey mitch mcconnell senator south donald republican mccain jennings lindsay,lindsey mcconnell mitch jennings scott graham mccain lindsay graham's mcconnell's senator kentucky,FALSE,-4.12232836683775e-05,0.000179430863809452,-0.229744664842916,0.818291424076895,-0.000392907776734903,0.000310461209398148,-0.000104042661834208,0.0003114642761247,0.738693161734488
