show_id,removed_words,total_words,removed_share
506779862,3927,210310,0.018672435927915933
1485186805,4549,253755,0.017926740359795867
1462703434,4831,275693,0.017523114478786187
1873028393,4137,240422,0.017207243929424097
1889705401,5212,304348,0.017125133071352532
1592116227,4090,245658,0.01664916265702725
1880163995,5105,306931,0.016632402722435987
1614844654,4247,261468,0.016242905441583674
1548086514,3523,217005,0.01623464897122186
1291144720,3898,243069,0.016036598661285477
1695205478,3262,207814,0.015696728805566516
1263295815,3334,215401,0.015478108272477843
1467993804,3738,255832,0.014611151067888302
1725442221,2562,207970,0.012319084483338943
1767877239,3225,261796,0.012318752005378233
1218054701,2944,251476,0.011706882565334267
1795032531,3011,268947,0.011195514357847457
1818658022,1127,101328,0.011122295910311069
1865794721,2758,256243,0.010763220848959776
1623855270,2713,264055,0.010274374656794986
1730358737,1996,199568,0.01000160346348112
1449848509,2865,299625,0.009561952440550688
1874174561,2207,245261,0.008998577026106881
1474001390,2346,262059,0.008952182523782812
1531192509,2145,264746,0.008102105414246108
1640311112,1976,252359,0.007830115034534136
1485021241,1782,263574,0.006760909649661954
1471411980,1554,233234,0.006662836464666386
1378389941,1336,245847,0.005434274162385549
1800671132,1785,336612,0.00530284125343125
1877144831,1108,227888,0.0048620374921013836
925428680,1277,263172,0.004852339914580579
1635446643,1123,237543,0.004727565114526633
1822142909,958,213835,0.004480089788855893
1636762428,820,245384,0.0033417011704104586
1289062927,711,254573,0.0027929120527314367
1570432345,665,241628,0.002752164484248514
