show_id,nw,elite,people,media,elite_rate,people_rate,media_rate,populist_rate
402050558,836599,147,462,178,1.7571142207915622,5.522358979630624,2.127662117693184,7.279473200422187
402306412,126124,46,74,15,3.647204338587422,5.867241762075418,1.189305762582855,9.51444610066284
474763182,161983,210,43,7,12.964323416654834,2.6545995567436087,0.4321441138884945,15.618922973398442
506779862,1463339,245,717,106,1.6742531976527653,4.899753235579725,0.7243707712293597,6.574006433232491
545045867,738087,71,378,149,0.9619462204320086,5.12134748342675,2.018732209075624,6.083293703858759
597919007,1792986,608,1321,750,3.3909913407020467,7.367597962281914,4.182966291984433,10.75858930298396
682478916,995576,207,297,51,2.079198373604828,2.983197666476492,0.5122662659606098,5.062396040081319
702998658,757203,111,289,20,1.4659212919124727,3.816677958222564,0.2641299625067518,5.2825992501350365
716825890,802788,311,419,192,3.8739991130908784,5.219310702202823,2.3916650473101244,9.0933098152937
73329719,1053177,122,344,36,1.1583997751565027,3.266307562736368,0.3418228844724106,4.424707337892871
73330715,943961,175,486,276,1.8538901501227276,5.148517788340832,2.923849608193559,7.002407938463559
73331636,243208,27,86,4,1.1101608499720403,3.536067892503536,0.16446827406993192,4.646228742475577
75462585,446061,58,173,13,1.3002705907936358,3.8783933139189486,0.2914399600054701,5.178663904712584
78911087,1396649,152,824,67,1.088319255589629,5.8998359645122,0.47971967187174447,6.988155220101829
791564318,1782202,965,1035,227,5.414649966726555,5.807422503173041,1.273705225333604,11.222072469899596
91959525,241330,40,285,6,1.6574814569262006,11.80955538059918,0.2486222185389301,13.46703683752538
925428680,1841512,524,822,144,2.845487838254652,4.463723288254434,0.781966123489828,7.309211126509086
929121341,2389428,364,1017,485,1.5233771429815002,4.256248775857653,2.029774489961614,5.779625918839153
956270301,1902380,221,438,135,1.161702709237902,2.3023791250959325,0.709637401570664,3.464081834333834
969924303,1208382,131,425,116,1.0840942682032668,3.5170997250869345,0.9599613367296104,4.6011939932902015
983782306,762476,214,402,218,2.8066457173733994,5.272297095252834,2.8591063849878555,8.078942812626234
