show_id,llm_density,n_labelled,words_labelled
1607829807,0.8772005991273579,363.0,46067.0
1612691018,0.9182301573577728,760.0,92528.0
1614844654,0.5917829406703047,760.0,91809.0
1617887885,0.8255446445990765,680.0,76885.0
1623855270,0.9684817596566524,440.0,52192.0
1633301179,0.6030701193793297,640.0,78238.0
1634341981,0.9926729884985857,680.0,80251.0
1635418897,0.7034943473792394,680.0,87570.0
1635446643,0.9288496939081297,775.0,93436.0
1636762428,0.4439696937858252,680.0,85659.0
1640311112,0.8449117193303239,680.0,87505.0
1645614328,0.877068250800137,680.0,84673.0
1647025876,0.8755513333785709,120.0,14737.0
1647085571,0.8827870098583808,680.0,85511.0
1648125917,0.6858585072147825,640.0,77064.0
1654162813,0.7559334956590177,640.0,81318.0
1659250199,0.9144234632382483,40.0,4978.0
1660317917,0.9577063690590726,640.0,77955.0
1669610956,0.900360927104321,600.0,68989.0
1671451793,0.41907985103159207,600.0,70619.0
1674095262,0.7816691615657098,563.0,67471.0
1679657705,0.8896457199817253,600.0,72231.0
1681586867,0.8225948940630381,560.0,66785.0
1692806415,0.9389865260691271,560.0,68280.0
1695205478,0.8998948645369996,520.0,61825.0
1696250206,0.743202416918429,15.0,1655.0
1696974077,0.8932848288029478,520.0,64049.0
1702202187,0.9245563274589593,520.0,64631.0
1709994511,0.8419782083904221,120.0,15327.0
1714009198,0.9049148871218619,560.0,68791.0
1714879044,0.8681379026307209,480.0,58273.0
1715894000,0.9376618605932593,472.0,54445.0
1721813926,0.8019519571119282,480.0,58198.0
1721969693,0.9492225685670546,446.0,54217.0
1722246285,0.9257019438444924,440.0,53245.0
1725387804,0.9028043926886793,440.0,54272.0
1725442221,0.8735616753605401,440.0,52144.0
1728152109,0.9511307267206096,440.0,53019.0
1728340033,0.6585245901639344,440.0,54900.0
1730358737,0.9715144463835563,478.0,51570.0
1743030473,0.9002153195900953,400.0,50158.0
1750591415,0.5902460527370361,400.0,49908.0
1751785203,0.703670358660832,400.0,47761.0
1763234285,0.9476282464048079,40.0,4659.0
1767877239,0.7013816019587268,360.0,45744.0
1774505095,0.9240716180371353,360.0,45240.0
1785081636,0.9125429972102598,320.0,36921.0
1788738240,0.0,6.0,648.0
1788891712,0.8165412222835721,280.0,34411.0
1790957194,0.8648735558260789,1080.0,130611.0
1794450472,0.8421736158578264,120.0,14630.0
1795032531,0.9406226960812114,280.0,35266.0
1798460240,0.9848328486099384,280.0,31977.0
1800671132,0.7507391469804748,280.0,34161.0
1801103648,0.8376995497339337,40.0,4886.0
1805186512,0.6786835185342268,280.0,35367.0
1809246826,0.9133345128568059,280.0,33912.0
1810218232,0.8320659488559893,240.0,29720.0
1818418128,0.8592918226465639,240.0,29117.0
1818658022,0.943898387208417,240.0,28894.0
1820648828,0.8733189887036041,240.0,29744.0
1822142909,0.947498826352303,320.0,38342.0
1839861250,0.6471106483520884,200.0,24971.0
1843478428,0.777331612409771,160.0,20919.0
1849994842,0.6013220409006403,40.0,4841.0
1865794721,0.5807385041202743,120.0,15897.0
1868807558,0.9416592902550898,200.0,24854.0
1869456664,0.9653998092902875,120.0,14682.0
1871531782,0.9464167585446527,36.0,4535.0
1871628261,0.9420209253015398,240.0,28769.0
1871930209,0.8926296633303002,26.0,3297.0
1873028393,0.9530556748246743,120.0,13974.0
1874174561,0.9872488958541102,120.0,14038.0
1875402719,0.9066666666666666,4.0,450.0
1876034889,0.9397497996306234,240.0,28697.0
1877144831,0.8125204753253715,280.0,33577.0
1880163995,0.922016633959443,680.0,85608.0
1884144340,0.8796258641724278,40.0,4918.0
1886801652,0.863525814745327,120.0,14391.0
1889550138,0.8695887445887446,15.0,1848.0
1889705401,0.9000097077953597,80.0,10301.0
1896576050,0.9417967102488402,80.0,9484.0
1896897095,0.8898858075040783,40.0,4904.0
219258773,0.7886826356423884,1040.0,131338.0
268213039,0.7560182391202307,240.0,29826.0
354628391,0.6989029017923009,1365.0,169447.0
380996798,0.7471719869318295,1200.0,150901.0
387042247,0.9850091016168755,80.0,9339.0
402050558,0.8859620148637489,680.0,84770.0
402306412,0.8540966386554621,80.0,9520.0
474763182,0.656491203671511,120.0,14381.0
506779862,0.7127467300832342,1400.0,168200.0
545045867,0.8965211042484756,840.0,101354.0
