show_id,nw,imp_other,imp_all,you_deontic,you_all,imp_attention,you_other,you_know,imp_action,imp_epistemic,you_addressive,imp_other_rate,imp_all_rate,you_deontic_rate,you_all_rate,imp_attention_rate,you_other_rate,you_know_rate,imp_action_rate,imp_epistemic_rate,you_addressive_rate
354628391,74765,206,640,138,1988,88.0,1583,214,313,33.0,53.0,27.55299939811409,85.60155152812145,18.45783454825119,265.89981943422725,11.7702133351167,211.7300876078379,28.623018792215607,41.86450879422189,4.413830000668762,7.0888784859225575
380996798,75776,176,563,105,1657,87.0,1083,445,274,26.0,24.0,23.22635135135135,74.29793074324324,13.856630067567567,218.67081925675674,11.48120777027027,142.92124155405406,58.7257179054054,36.15920608108108,3.431165540540541,3.16722972972973
387042247,70564,140,335,70,934,29.0,723,116,145,21.0,25.0,19.840145116489992,47.47463295731534,9.920072558244996,132.3621109914404,4.109744345558642,102.46017799444475,16.43897738223457,20.548721727793207,2.9760217674734992,3.5428830565160707
402050558,75121,133,507,110,1661,89.0,1305,196,234,51.0,50.0,17.704769638316847,67.49111433553867,14.643042558006416,221.10994262589688,11.847552615114282,173.71973216543975,26.091239466993247,31.149745077940924,6.789047004166611,6.6559284354574615
402306412,72708,143,430,112,1432,53.0,977,326,210,24.0,17.0,19.667711943665072,59.14067227815371,15.404082081751664,196.9521923309677,7.289431699400341,134.37310887385158,44.83688177367003,28.88265390328437,3.3008747318039284,2.338119601694449
474763182,72267,99,281,64,1081,20.0,725,283,153,9.0,9.0,13.699198804433559,38.88358448531142,8.856047711957048,149.58418088477453,2.7675149099865775,100.32241548701344,39.16033597631007,21.17148906139732,1.2453817094939599,1.2453817094939599
506779862,72057,142,365,100,1209,40.0,971,120,147,36.0,18.0,19.706621147147395,50.654343089498596,13.877902216300985,167.7838377950789,5.551160886520394,134.75443052028254,16.65348265956118,20.400516257962444,4.996044797868354,2.498022398934177
545045867,71889,140,439,87,1492,81.0,845,539,190,28.0,21.0,19.474467581966643,61.066366203452546,12.101990568793557,207.54218308781594,11.267370529566415,117.54232219115582,74.97670019057158,26.42963457552616,3.8948935163933287,2.9211701372949963
597919007,74600,160,634,131,1526,124.0,1309,45,315,35.0,41.0,21.44772117962467,84.98659517426275,17.560321715817693,204.55764075067023,16.621983914209114,175.46916890080428,6.032171581769437,42.22520107238606,4.6916890080428955,5.495978552278821
682478916,71916,130,321,93,1290,38.0,932,256,139,14.0,9.0,18.076644974692694,44.635407975971965,12.931753712664776,179.37593859502752,5.2839423772178655,129.59563935702764,35.597085488625616,19.328105011402194,1.9467156126592136,1.2514600367094946
