show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1721969693,Politix,Politix,25.31,Brian Beutler and Matthew Yglesias,2.0,2.0,full,-0.1139999999999999,Brian Beutler=0.769; Matthew Yglesias=-0.997
1258635512,Radio Atlantic,The Atlantic,25.17,Hanna Rosin and Adam Harris,2.0,0.0,none,,Hanna Rosin=NA; Adam Harris=NA
1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,Vox Media Podcast Network,26.01,Scott Galloway and Jessica Tarlov,2.0,1.0,partial,-0.953,Scott Galloway=NA; Jessica Tarlov=-0.953
956270301,Rational Security,The Lawfare Institute,25.35,Scott R. Anderson,1.0,1.0,full,1.743,Scott R. Anderson=1.743
1865794721,Real Baron Podcast,Baron Coleman,26.63,Baron Coleman,1.0,1.0,full,1.659,Baron Coleman=1.659
1509826894,RealClearPolitics Podcast,"RealClearPolitics, Carl Cannon, Tom Bevan",25.5,"Andrew Walworth, Carl Cannon, and Tom Bevan",3.0,2.0,partial,0.1149999999999999,Andrew Walworth=0.875; Carl Cannon=-0.645; Tom Bevan=NA
354628391,Renegade Talk Radio,Renegade Talk Radio,26.2,,0.0,0.0,no_host_listed,,
1218054701,Rev Left Radio,Revolutionary Left Radio,25.83,Breht O'Shea,1.0,0.0,none,,Breht O'Shea=NA
1408796715,Runaway Country with Alex Wagner,Runaway Country with Alex Wagner,25.59,Alex Wagner,1.0,1.0,full,-0.466,Alex Wagner=-0.466
1112258664,Russian Roulette,Center for Strategic and International Studies,25.25,Max Bergmann and Dr. Maria Snegovaya,2.0,1.0,partial,-1.108,Max Bergmann=-1.108; Dr. Maria Snegovaya=NA
1535384390,Ruthless Podcast,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",25.81,"Josh Holmes, Shashank Tripathi, Michael Duncan, and John Ashbrook",4.0,2.0,partial,0.015,Josh Holmes=-1.051; Shashank Tripathi=1.081; Michael Duncan=NA; John Ashbrook=NA
545045867,Scott Horton Show - Just the Interviews,Scott Horton,25.24,Scott Horton,1.0,1.0,full,1.125,Scott Horton=1.125
1599891719,Seattle Nice,"David Hyde, Erica Barnett, and Sandeep Kaushik",25.65,"Erica C. Barnett, David Hyde, and Sandeep Kaushik",3.0,3.0,full,-1.034,Erica C. Barnett=-0.983; David Hyde=-1.310; Sandeep Kaushik=-0.809
1502568407,SGT Report’s The Propaganda Antidote,SGT Report,25.69,Sean Turnbull,1.0,1.0,full,1.659,Sean Turnbull=1.659
1886801652,Sidebar with Katie Phang,Katie Phang,25.17,Katie Phang,1.0,1.0,full,-0.5535,Katie Phang=-0.553
1093260018,Slate News,Slate Podcasts,25.54,,0.0,0.0,no_host_listed,,
1648125917,Stay Free with Russell Brand,Stay Free with Russell Brand,25.26,Russell Brand,1.0,0.0,none,,Russell Brand=NA
1265845136,Stay Tuned with Preet,Preet Bharara,25.03,Preet Bharara,1.0,1.0,full,-0.842667,Preet Bharara=-0.843
1441649707,Straight White American Jesus,Bradley Onishi + Daniel Miller,25.3,Bradley Onishi and Daniel Miller,2.0,1.0,partial,-1.02,Bradley Onishi=-1.020; Daniel Miller=NA
1669610956,System Update with Glenn Greenwald,Rumble,25.61,Glenn Greenwald,1.0,1.0,full,-1.107,Glenn Greenwald=-1.107
1456045551,Talking Feds,Harry Litman,25.87,Harry Litman,1.0,0.0,none,,Harry Litman=NA
1536169792,Talkin‘ Politics & Religion Without Killin‘ Each Other,"Scan Media, LLC",25.57,Corey Nathan,1.0,0.0,none,,Corey Nathan=NA
1538788132,Tangle,Isaac Saul,25.13,Isaac Saul,1.0,0.0,none,,Isaac Saul=NA
1314368109,The 11th Hour with Ali Velshi,"MS NOW, Ali Velshi",25.65,Ali Velshi,1.0,0.0,none,,Ali Velshi=NA
1790957194,The 47 Morning Update with Ben Ferguson,Premiere Networks,25.06,Ben Ferguson,1.0,1.0,full,2.394,Ben Ferguson=2.394
1462195742,The Al Franken Podcast,The Al Franken Podcast,25.09,The Al Franken Podcast,1.0,0.0,none,,The Al Franken Podcast=NA
1548086514,The Arena,Father Josiah Trenham,25.31,Josiah Trenham,1.0,0.0,none,,Josiah Trenham=NA
1364113251,The Beat with Ari Melber,"Ari Melber, MS NOW",25.21,Ari Melber,1.0,1.0,full,-0.892,Ari Melber=-0.892
1386375601,The Ben Ferguson Podcast,iHeartPodcasts,25.17,Ben Ferguson,1.0,1.0,full,2.394,Ben Ferguson=2.394
1584730781,The Benny Show,Benny Johnson,26.64,Benny Johnson,1.0,1.0,full,0.865,Benny Johnson=0.865
380996798,"The Bob Cesca Show | Politics Podcast, News & Commentary",Bob Cesca,25.29,Bob Cesca,1.0,0.0,none,,Bob Cesca=NA
1722246285,The Breakdown,Alberto fo sho,25.22,Rick Wilson and Maya May,2.0,1.0,partial,-1.015,Rick Wilson=NA; Maya May=-1.015
1592116227,The Breitbart News Daily Podcast,SiriusXM,25.72,Mike Slater,1.0,0.0,none,,Mike Slater=NA
73331636,The Brian Lehrer Show,WNYC,25.25,Brian Lehrer,1.0,0.0,none,,Brian Lehrer=NA
1692806415,The Briefing with Jen Psaki,"MS NOW, Jen Psaki",25.25,Jen Psaki,1.0,1.0,full,-0.8715,Jen Psaki=-0.872
1208232103,The Buck Sexton Show,Premiere Networks,25.14,Buck Sexton,1.0,0.0,none,,Buck Sexton=NA
1447684472,The Bulwark Podcast,The Bulwark,25.28,Tim Miller,1.0,1.0,full,-0.99,Tim Miller=-0.990
1635418897,The Chris Cuomo Project,Chris Cuomo,25.18,Chris Cuomo,1.0,0.0,none,,Chris Cuomo=NA
1635446643,The Coffee Klatch with Robert Reich,Robert Reich,25.34,Robert Reich,1.0,1.0,full,-0.868,Robert Reich=-0.868
1111319839,The Conversation with Dasha Burns,POLITICO,25.09,Dasha Burns,1.0,0.0,none,,Dasha Burns=NA
1728152109,THE DAILY BLAST with Greg Sargent,Greg Sargent,25.05,Greg Sargent,1.0,0.0,none,,Greg Sargent=NA
1549272440,The Daily Punch,Punchbowl News,25.02,Anna Palmer and Jake Sherman,2.0,0.0,none,,Anna Palmer=NA; Jake Sherman=NA
1432118523,The Damage Report with John Iadarola,TYT Network,25.61,John Iadarola,1.0,1.0,full,-1.017,John Iadarola=-1.017
402050558,The David Pakman Show,David Pakman,25.74,David Pakman,1.0,0.0,none,,David Pakman=NA
1043245989,The Dig,Daniel Denvir,27.44,Daniel Denvir,1.0,1.0,full,-1.026,Daniel Denvir=-1.026
1536984072,The Dishcast with Andrew Sullivan,Andrew Sullivan,25.02,Andrew Sullivan,1.0,1.0,full,-0.977,Andrew Sullivan=-0.977
1567204040,The Drill Down with Peter Schweizer,Government Accountability Institute,25.3,Peter Schweizer,1.0,1.0,full,0.849,Peter Schweizer=0.849
1586423406,The Focus Group Podcast,The Bulwark,25.54,Sarah Longwell,1.0,1.0,full,0.6625,Sarah Longwell=0.662
1623855270,The Foreign Affairs Interview,Foreign Affairs Magazine,25.65,Daniel Kurtz-Phelan,1.0,1.0,full,-0.998,Daniel Kurtz-Phelan=-0.998
1303660358,The Fox News Rundown,FOX News Podcasts,25.49,,0.0,0.0,no_host_listed,,
474763182,The Globalist,Monocle,25.69,Emma Nelson and Andrew Mueller,2.0,2.0,full,-1.04,Emma Nelson=-1.015; Andrew Mueller=-1.065
1456850698,The Graham Allen Show,Graham Allen,28.2,Graham Allen,1.0,1.0,full,1.664,Graham Allen=1.664
1594728054,The Great America Show,Fawcett Strategies,25.6,Lou Dobbs,1.0,0.0,none,,Lou Dobbs=NA
1871628261,The Harry Sisson Show,Harry Sisson,25.05,Harry Sisson,1.0,1.0,full,-1.008,Harry Sisson=-1.008
1517313007,The Hugh Hewitt Show: Highly Concentrated,Salem Podcast Network,25.01,Hugh Hewitt,1.0,1.0,full,1.132,Hugh Hewitt=1.132
1725387804,The Illegal News with Sarah Longwell,The Bulwark,25.38,Sarah Longwell,1.0,1.0,full,0.6625,Sarah Longwell=0.662
1587936366,The Inside Story Podcast,Al Jazeera,25.37,Malika Bila,1.0,0.0,none,,Malika Bila=NA
1195206601,The Intercept Briefing,The Intercept,25.42,"Jordan Uhl, Jessica Washington, and Akela Lacy",3.0,2.0,partial,-1.137,Jordan Uhl=-1.118; Jessica Washington=NA; Akela Lacy=-1.156
1795032531,The Jim Acosta Show,Jim Acosta,25.04,Jim Acosta,1.0,0.0,none,,Jim Acosta=NA
