show,extracted_host,host_source,match_confidence,publisher,notes
The Mary Trump Podcast,Mary Trump,PARSED_FROM_TITLE,low,Mary Trump Media,
The Damage Report with John Iadarola,John Iadarola,PARSED_FROM_TITLE,medium,TYT Network,
Wired In,,PUBLISHER_ONLY,none,The Daily Wire,publisher-only fields: The Daily Wire
Jacobin Radio,,PUBLISHER_ONLY,none,Jacobin,publisher-only fields: Jacobin
Owen Report,Owen Shroyer,ITUNES_AUTHOR,high,Owen Shroyer,
Bad Faith,Briahna Joy Gray,ITUNES_AUTHOR,high,Briahna Joy Gray,
Perino on Politics,,PUBLISHER_ONLY,none,FOX News Podcasts,publisher-only fields: FOX News Podcasts
MOATS with George Galloway,George Galloway,PARSED_FROM_TITLE,medium,Molucca Media Ltd,
"The Bob Cesca Show | Politics Podcast, News & Commentary",Bob Cesca,ITUNES_AUTHOR,high,Bob Cesca,
The President's Inbox,,PUBLISHER_ONLY,none,Council on Foreign Relations,publisher-only fields: Council on Foreign Relations
The Dig,Daniel Denvir,ITUNES_AUTHOR,high,Daniel Denvir,
Unf*cking The Republic,,PUBLISHER_ONLY,none,UNFTR Media,publisher-only fields: UNFTR Media
Washington Today,,PUBLISHER_ONLY,none,C-SPAN,"publisher-only fields: C-SPAN, Radio"
War on the Rocks,Ryan Evans,ITUNES_AUTHOR,high,Ryan Evans,
Federalist Radio Hour,,PUBLISHER_ONLY,none,Radio America,publisher-only fields: Radio America
The Conversation with Dasha Burns,Dasha Burns,PARSED_FROM_TITLE,medium,POLITICO,
Useful Idiots with Katie Halper and Aaron Maté,Katie Halper,PARSED_FROM_TITLE,medium,"Useful Idiots, LLC",
Useful Idiots with Katie Halper and Aaron Maté,Aaron Maté,PARSED_FROM_TITLE,medium,"Useful Idiots, LLC",
Amarica's Constitution,Akhil Reed Amar,ITUNES_AUTHOR,high,Akhil Reed Amar,
ChinaTalk,Jordan Schneider,ITUNES_AUTHOR,high,Jordan Schneider,
The Victor Davis Hanson Show,Victor Davis Hanson,ITUNES_AUTHOR,high,Victor Davis Hanson and Jack Fowler,
The Victor Davis Hanson Show,Jack Fowler,ITUNES_AUTHOR,high,Victor Davis Hanson and Jack Fowler,
Politically Georgia,,PUBLISHER_ONLY,none,The Atlanta Journal-Constitution,publisher-only fields: The Atlanta Journal-Constitution
Hawk Podcasts,Hawk,ITUNES_AUTHOR,high,Hawk,
Bad Hasbara - The World's Most Moral Podcast,Matt Lieb,ITUNES_AUTHOR,high,Matt Lieb,
The Political Orphanage,Andrew Heaton,ITUNES_AUTHOR,high,Andrew Heaton,
Maiden Mother Matriarch with Louise Perry,Louise Perry,ITUNES_AUTHOR,high,Louise Perry,
SGT Report's The Propaganda Antidote,,PUBLISHER_ONLY,none,SGT Report,publisher-only fields: SGT Report
Make It Make Sense,,PUBLISHER_ONLY,none,The Washington Post,publisher-only fields: The Washington Post
Mark Kaye Saves The Republic,,PUBLISHER_ONLY,none,Kayetriot Media,publisher-only fields: Kayetriot Media
Scott Horton Show - Just the Interviews,Scott Horton,ITUNES_AUTHOR,high,Scott Horton,
The Peter McCormack Show,Peter McCormack,ITUNES_AUTHOR,high,Peter McCormack,
Firing Line with Margaret Hoover,Margaret Hoover,PARSED_FROM_TITLE,medium,Firing Line With Margaret Hoover,
"Life, Liberty & Levin Podcast",,PUBLISHER_ONLY,none,FOX News Podcasts,publisher-only fields: FOX News Podcasts
Antiwar News With Dave DeCamp,Dave DeCamp,ITUNES_AUTHOR,high,Dave DeCamp,
The Globalist,,PUBLISHER_ONLY,none,Monocle,"publisher-only fields: Monocle, Winkontent Ltd. 759286"
The Harry Sisson Show,Harry Sisson,ITUNES_AUTHOR,high,Harry Sisson,
It's A Numbers Game with Ryan Girdusky,Ryan Girdusky,PARSED_FROM_TITLE,medium,iHeartPodcasts,
The Kyle Seraphin Show,Kyle Seraphin,ITUNES_AUTHOR,high,Kyle Seraphin,
POLITICO Energy,,PUBLISHER_ONLY,none,POLITICO,publisher-only fields: POLITICO
Autocracy in America,,PUBLISHER_ONLY,none,The Atlantic,publisher-only fields: The Atlantic
Stay Free with Russell Brand,Russell Brand,ITUNES_OWNER,high,Stay Free with Russell Brand,
THE WEEKEND SHOW,,PUBLISHER_ONLY,none,Evergreen Podcasts,"publisher-only fields: Evergreen Podcasts, Five Minute News"
The Kyle Kulinski Show,Kyle Kulinski,ITUNES_AUTHOR,high,Kyle Kulinski,
The Dishcast with Andrew Sullivan,Andrew Sullivan,ITUNES_AUTHOR,high,Andrew Sullivan,
Majority 54,,UNKNOWN,none,Majority 54,
Timcast News,,PUBLISHER_ONLY,none,Timcast Media,publisher-only fields: Timcast Media
Hope For America with Heather Delaney Reese,Heather Delaney Reese,ITUNES_AUTHOR,high,Heather Delaney Reese,
"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",Culture,ITUNES_AUTHOR,high,"Best of the Left: Perspectives on Politics, Culture, and Economics",
"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",Economics,ITUNES_AUTHOR,high,"Best of the Left: Perspectives on Politics, Culture, and Economics",
The Inside Story Podcast,Inside Story,PARSED_FROM_TITLE,low,Al Jazeera,
The Great America Show,John Fawcett,ITUNES_OWNER,high,Fawcett Strategies,
No Gods No Mayors,,UNKNOWN,none,The Office of the Mayor,
Cleanup on Aisle 45 with AG & Harry Dunn,Harry Dunn,PARSED_FROM_TITLE,medium,MSW Media,
Rational Security,,PUBLISHER_ONLY,none,The Lawfare Institute,publisher-only fields: The Lawfare Institute
