show_id,show,publisher,hours,host
1480605295,POLITICO Energy,POLITICO,25.0,"Josh Siegel, Manuel Quiñones, Zack Colman, and Nirmal Mulaikal"
1873028393,Politics Chat,Heather Cox Richardson,25.51,Heather Cox Richardson
1484862164,Politics War Room with James Carville & Al Hunt,Politicon,26.13,James Carville and Al Hunt
1721969693,Politix,Politix,25.31,Brian Beutler and Matthew Yglesias
1258635512,Radio Atlantic,The Atlantic,25.17,Hanna Rosin and Adam Harris
1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,Vox Media Podcast Network,26.01,Scott Galloway and Jessica Tarlov
956270301,Rational Security,The Lawfare Institute,25.35,Scott R. Anderson
1865794721,Real Baron Podcast,Baron Coleman,26.63,Baron Coleman
1509826894,RealClearPolitics Podcast,"RealClearPolitics, Carl Cannon, Tom Bevan",25.5,"Andrew Walworth, Carl Cannon, and Tom Bevan"
354628391,Renegade Talk Radio,Renegade Talk Radio,26.2,
1218054701,Rev Left Radio,Revolutionary Left Radio,25.83,Breht O'Shea
1408796715,Runaway Country with Alex Wagner,Runaway Country with Alex Wagner,25.59,Alex Wagner
1112258664,Russian Roulette,Center for Strategic and International Studies,25.25,Max Bergmann and Dr. Maria Snegovaya
1535384390,Ruthless Podcast,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",25.81,"Josh Holmes, Shashank Tripathi, Michael Duncan, and John Ashbrook"
545045867,Scott Horton Show - Just the Interviews,Scott Horton,25.24,Scott Horton
1599891719,Seattle Nice,"David Hyde, Erica Barnett, and Sandeep Kaushik",25.65,"Erica C. Barnett, David Hyde, and Sandeep Kaushik"
1502568407,SGT Report’s The Propaganda Antidote,SGT Report,25.69,Sean Turnbull
1886801652,Sidebar with Katie Phang,Katie Phang,25.17,Katie Phang
1093260018,Slate News,Slate Podcasts,25.54,
1648125917,Stay Free with Russell Brand,Stay Free with Russell Brand,25.26,Russell Brand
1265845136,Stay Tuned with Preet,Preet Bharara,25.03,Preet Bharara
1441649707,Straight White American Jesus,Bradley Onishi + Daniel Miller,25.3,Bradley Onishi and Daniel Miller
1669610956,System Update with Glenn Greenwald,Rumble,25.61,Glenn Greenwald
1456045551,Talking Feds,Harry Litman,25.87,Harry Litman
1536169792,Talkin‘ Politics & Religion Without Killin‘ Each Other,"Scan Media, LLC",25.57,Corey Nathan
1538788132,Tangle,Isaac Saul,25.13,Isaac Saul
1314368109,The 11th Hour with Ali Velshi,"MS NOW, Ali Velshi",25.65,Ali Velshi
1790957194,The 47 Morning Update with Ben Ferguson,Premiere Networks,25.06,Ben Ferguson
1462195742,The Al Franken Podcast,The Al Franken Podcast,25.09,The Al Franken Podcast
1548086514,The Arena,Father Josiah Trenham,25.31,Josiah Trenham
1364113251,The Beat with Ari Melber,"Ari Melber, MS NOW",25.21,Ari Melber
1386375601,The Ben Ferguson Podcast,iHeartPodcasts,25.17,Ben Ferguson
1584730781,The Benny Show,Benny Johnson,26.64,Benny Johnson
380996798,"The Bob Cesca Show | Politics Podcast, News & Commentary",Bob Cesca,25.29,Bob Cesca
1722246285,The Breakdown,Alberto fo sho,25.22,Rick Wilson and Maya May
1592116227,The Breitbart News Daily Podcast,SiriusXM,25.72,Mike Slater
73331636,The Brian Lehrer Show,WNYC,25.25,Brian Lehrer
1692806415,The Briefing with Jen Psaki,"MS NOW, Jen Psaki",25.25,Jen Psaki
1208232103,The Buck Sexton Show,Premiere Networks,25.14,Buck Sexton
1447684472,The Bulwark Podcast,The Bulwark,25.28,Tim Miller
1635418897,The Chris Cuomo Project,Chris Cuomo,25.18,Chris Cuomo
1635446643,The Coffee Klatch with Robert Reich,Robert Reich,25.34,Robert Reich
1111319839,The Conversation with Dasha Burns,POLITICO,25.09,Dasha Burns
1728152109,THE DAILY BLAST with Greg Sargent,Greg Sargent,25.05,Greg Sargent
1549272440,The Daily Punch,Punchbowl News,25.02,Anna Palmer and Jake Sherman
1432118523,The Damage Report with John Iadarola,TYT Network,25.61,John Iadarola
402050558,The David Pakman Show,David Pakman,25.74,David Pakman
1043245989,The Dig,Daniel Denvir,27.44,Daniel Denvir
