review_id,show_id,rating,n_cats,connection,companionship,direct_address,emotion,loyalty,praise_person,praise_content,agreement,anti_media,hostility,disagreement
14394634066,1750591415,1,0,0,0,0,0,0,0,0,0,0,0,0
11172593715,1679657705,5,3,0,0,1,1,0,0,1,0,0,0,0
11730101142,78911087,1,1,0,0,0,0,0,0,0,0,0,0,1
8352313633,1111319839,5,4,0,0,1,1,0,1,1,0,0,0,0
9651243691,1439837349,5,1,0,0,0,0,0,0,1,0,0,0,0
9433347765,1093260018,1,2,0,0,0,0,0,0,0,0,0,1,1
9514617986,1494037881,4,3,0,0,1,0,0,1,1,0,0,0,0
14035110491,1467297559,4,1,0,0,1,0,0,0,0,0,0,0,0
1308594695,124960485,1,2,0,0,0,0,0,0,0,0,0,1,1
14569907940,1640311112,5,5,0,0,1,1,0,0,1,0,1,1,0
3249689932,78911087,1,1,0,0,0,0,0,0,0,0,0,1,0
10827300623,1721813926,5,2,0,0,0,0,0,0,1,1,0,0,0
8925367579,380996798,5,1,0,0,0,0,0,0,1,0,0,0,0
1726316177,78911087,1,1,0,0,0,0,0,0,0,0,0,0,1
14230797091,1750591415,5,3,0,0,1,1,0,1,0,0,0,0,0
12390349313,1515399733,5,2,0,0,0,0,0,0,0,1,1,0,0
14123630264,158004641,5,4,0,0,1,1,1,0,0,0,0,0,1
11005860784,1515399733,5,1,0,0,0,0,0,0,1,0,0,0,0
12873061271,1485351658,3,2,0,0,1,0,0,0,0,0,0,1,0
10312677668,929121341,5,1,0,0,0,0,0,0,0,0,0,1,0
11998021661,1721813926,5,1,0,0,0,1,0,0,0,0,0,0,0
12436419556,1378389941,1,4,0,0,1,0,0,0,0,1,1,1,0
10529840712,929121341,5,1,0,0,0,0,0,0,1,0,0,0,0
12559165967,1138657182,5,3,0,0,1,0,0,1,0,1,0,0,0
3003102787,1408796715,5,1,0,0,0,0,0,0,1,0,0,0,0
14312459062,1889550138,5,2,0,0,1,0,0,0,1,0,0,0,0
7730232424,1317356120,5,1,0,0,0,0,0,0,1,0,0,0,0
14426833735,1192761536,2,2,0,0,0,0,0,0,1,0,0,0,1
11708049402,1763234285,5,4,0,0,1,1,0,0,1,1,0,0,0
6995604426,78911087,2,1,0,0,0,0,0,0,0,0,0,1,0
7562020241,1476110521,5,1,0,0,0,0,0,1,0,0,0,0,0
447040578,91959525,1,2,0,0,0,0,0,0,0,0,1,1,0
11285917758,1654162813,5,4,1,0,1,1,0,0,0,1,0,0,0
11110606454,1484862164,5,4,0,0,1,0,0,1,0,1,0,1,0
9617565370,1607829807,5,3,0,0,1,1,0,0,1,0,0,0,0
12254300378,929121341,5,1,0,0,0,0,0,0,1,0,0,0,0
9803648043,1452065072,5,5,0,0,0,1,0,1,1,0,1,1,0
13923611539,1570045623,5,3,0,0,1,1,0,0,1,0,0,0,0
6303646680,1111319839,4,2,0,0,0,1,0,0,0,0,0,1,0
11210654119,1364113251,5,2,0,0,1,0,0,0,0,0,0,1,0
14528916441,1447684472,5,3,0,0,1,1,0,0,1,0,0,0,0
11632563539,1309354521,1,3,0,0,0,0,0,0,0,0,1,1,1
7440636170,983782306,4,3,0,0,0,0,0,0,1,0,1,0,1
3021276041,1408796715,5,2,0,1,0,0,0,0,1,0,0,0,0
10872516476,1721813926,5,3,0,1,0,1,0,0,1,0,0,0,0
13940095988,1490993194,3,1,0,0,0,0,0,0,1,0,0,0,0
9148017509,1647025876,5,3,0,0,0,0,1,1,0,1,0,0,0
12840133345,73330715,5,2,0,0,0,1,0,0,1,0,0,0,0
6967301166,1474001390,5,2,0,0,0,1,0,1,0,0,0,0,0
12249713180,1763234285,5,3,0,0,0,1,0,0,1,1,0,0,0
12195512718,1594728054,5,3,0,0,0,1,1,1,0,0,0,0,0
1564494923,1111319839,5,1,0,0,0,0,0,0,1,0,0,0,0
12888605302,1507444393,5,6,0,1,1,1,1,0,1,1,0,0,0
14391120883,1874174561,5,1,0,0,1,0,0,0,0,0,0,0,0
1321259331,124960485,5,3,0,0,1,0,1,0,1,0,0,0,0
14121028310,1640311112,5,3,0,0,1,1,0,0,0,0,0,1,0
1357057510,969924303,5,1,0,0,1,0,0,0,0,0,0,0,0
6918748860,545045867,5,3,0,0,0,0,0,1,1,0,1,0,0
1692335459,969924303,5,3,0,1,0,1,0,0,0,0,1,0,0
13271601559,1674095262,1,5,0,0,1,0,1,0,1,1,0,0,1
12998560558,1485351658,4,2,0,0,0,0,0,0,1,0,0,0,1
10319205732,1484862164,5,2,0,0,1,0,1,0,0,0,0,0,0
4809912,91959525,1,2,0,0,0,0,0,0,0,0,0,1,1
4193914697,91959525,1,2,0,0,0,0,0,0,0,0,1,0,1
6632836563,1265845136,5,4,0,0,0,1,1,0,1,1,0,0,0
12559522957,1432118523,5,2,0,1,0,1,0,0,0,0,0,0,0
12666559870,1494037881,4,2,0,0,0,1,0,0,1,0,0,0,0
7629367916,1474001390,4,3,0,0,1,0,0,0,1,0,0,1,0
5488597796,1408796715,5,3,0,0,0,1,0,0,1,1,0,0,0
13280498224,1490993194,5,1,0,0,0,0,0,0,1,0,0,0,0
9357873294,1635418897,5,2,0,0,1,0,0,0,0,0,0,1,0
9388835393,1480605295,2,2,0,0,0,0,0,0,0,0,1,0,1
12224013989,1314170606,3,2,0,0,0,0,0,1,0,0,0,1,0
5438259609,1439837349,5,1,0,0,0,0,0,1,0,0,0,0,0
6453375293,1484862164,5,1,0,0,0,0,0,0,1,0,0,0,0
9102230498,1364113251,1,2,0,0,0,0,0,0,1,0,0,1,0
14064449208,1506127536,5,2,0,0,0,0,0,1,1,0,0,0,0
7303470478,1549624070,5,5,0,0,1,1,1,1,1,0,0,0,0
9845794096,380996798,5,2,0,0,0,1,0,0,1,0,0,0,0
14506191396,1309354521,1,1,0,0,0,0,0,0,0,0,0,1,0
6206677750,1439837349,5,3,0,0,0,0,0,0,1,1,1,0,0
10996057228,1725387804,5,2,0,0,0,1,0,0,1,0,0,0,0
13957220515,1447684472,1,3,0,0,0,0,0,0,0,0,1,1,1
10920861863,1695205478,5,1,0,0,0,0,0,0,1,0,0,0,0
8786755832,1476110521,2,1,0,0,0,0,0,0,0,0,0,1,0
7039460442,1364113251,5,4,0,0,1,1,0,0,0,1,0,1,0
1159023201,969924303,5,1,0,0,0,0,0,1,0,0,0,0,0
11009097625,1725387804,1,1,0,0,0,0,0,0,0,0,0,1,0
11007642827,1645614328,5,3,0,0,0,0,0,1,1,1,0,0,0
11252418977,1645614328,5,2,0,0,1,0,0,0,0,1,0,0,0
11316810252,1721813926,5,7,0,1,1,1,0,1,1,1,1,0,0
10340888194,929121341,5,1,0,0,0,0,0,0,1,0,0,0,0
11599721918,929121341,5,4,0,1,1,1,0,0,1,0,0,0,0
